单位,	含税电费总额,	不含税电费金额,	税金总额,	发票张数,	状态,	
北京中建海外装饰工程有限公司,	1961161.97,	1766812.59,	194349.38,	2,	0,	
﻿北京中建海外装饰工程有限公司,	1961161.97,	1766812.59,	194349.38,	2,	0,	
